PROJECT, SAMPLE_NUMBER, PROGRAM, SUB_PROGRAM, SAMPLING_POINT, SP_DESCRIPTION, SAMPLING_POINT_GROUP, CUSTOMER_SAMPLE_ID, QA_CODE, SAMPLED_BY, SAMPLED_DATE, RECD_DATE, RECEIPT_TEMP, REPORTED_NAME, COMPONENT, RESULT, UNITS, MRL, ANALYSIS_DATE, DEPTH, DEPTH_UNITS, COLLECT_TYPE, SAMPLE_NOTES, TEST_NOTES, RESULT_NOTES
OWRB-001_1509,OWRB-1678429-01,OWRB,GMAP,WELL_157335,157335,Antlers,5000128.02.A,10 (General Environmental Sample),HLR//TCM/RAH/ZMM,3/7/2022 17:52,3/10/2022 9:52,0.4,EPA200.7 Trace Elements,"Calcium, Dissolved",5.27,mg/L,0.5,3/16/2022,0,,GW,,,
OWRB-001_1509,OWRB-1678429-01,OWRB,GMAP,WELL_157335,157335,Antlers,5000128.02.A,10 (General Environmental Sample),HLR//TCM/RAH/ZMM,3/7/2022 17:52,3/10/2022 9:52,0.4,EPA200.7 Trace Elements,"Magnesium, Dissolved",1.14,mg/L,0.5,3/16/2022,0,,GW,,,
OWRB-001_1509,OWRB-1678429-01,OWRB,GMAP,WELL_157335,157335,Antlers,5000128.02.A,10 (General Environmental Sample),HLR//TCM/RAH/ZMM,3/7/2022 17:52,3/10/2022 9:52,0.4,EPA200.7 Trace Elements,"Sodium, Dissolved",186,mg/L,0.5,3/16/2022,0,,GW,,,
OWRB-001_1509,OWRB-1678429-01,OWRB,GMAP,WELL_157335,157335,Antlers,5000128.02.A,10 (General Environmental Sample),HLR//TCM/RAH/ZMM,3/7/2022 17:52,3/10/2022 9:52,0.4,EPA200.7 Trace Elements,"Potassium, Dissolved",1.67,mg/L,0.5,3/16/2022,0,,GW,,,
OWRB-001_1509,OWRB-1678429-01,OWRB,GMAP,WELL_157335,157335,Antlers,5000128.02.A,10 (General Environmental Sample),HLR//TCM/RAH/ZMM,3/7/2022 17:52,3/10/2022 9:52,0.4,EPA200.7 Trace Elements,"Silicon as Silica, Dissolved",12.5,mg/L,0.05,3/16/2022,0,,GW,,,
OWRB-001_1509,OWRB-1678429-01,OWRB,GMAP,WELL_157335,157335,Antlers,5000128.02.A,10 (General Environmental Sample),HLR//TCM/RAH/ZMM,3/7/2022 17:52,3/10/2022 9:52,0.4,EPA200.7 Trace Elements,"Boron, Dissolved",204,µg/L,20,3/16/2022,0,,GW,,,
OWRB-001_1509,OWRB-1678429-01,OWRB,GMAP,WELL_157335,157335,Antlers,5000128.02.A,10 (General Environmental Sample),HLR//TCM/RAH/ZMM,3/7/2022 17:52,3/10/2022 9:52,0.4,EPA200.7 Trace Elements,"Iron, Dissolved",<20.0,µg/L,20,3/16/2022,0,,GW,,,
OWRB-001_1509,OWRB-1678429-01,OWRB,GMAP,WELL_157335,157335,Antlers,5000128.02.A,10 (General Environmental Sample),HLR//TCM/RAH/ZMM,3/7/2022 17:52,3/10/2022 9:52,0.4,EPA200.8 Trace Elements,"Beryllium, Dissolved",<1.00,µg/L,1,3/15/2022,0,,GW,,,
OWRB-001_1509,OWRB-1678429-01,OWRB,GMAP,WELL_157335,157335,Antlers,5000128.02.A,10 (General Environmental Sample),HLR//TCM/RAH/ZMM,3/7/2022 17:52,3/10/2022 9:52,0.4,EPA200.8 Trace Elements,"Aluminum, Dissolved",<10.0,µg/L,10,3/15/2022,0,,GW,,,
OWRB-001_1509,OWRB-1678429-01,OWRB,GMAP,WELL_157335,157335,Antlers,5000128.02.A,10 (General Environmental Sample),HLR//TCM/RAH/ZMM,3/7/2022 17:52,3/10/2022 9:52,0.4,EPA200.8 Trace Elements,"Vanadium, Dissolved",<1.00,µg/L,1,3/15/2022,0,,GW,,,
