PROJECT, SAMPLE_NUMBER, PROGRAM, SUB_PROGRAM, SAMPLING_POINT, SP_DESCRIPTION, SAMPLING_POINT_GROUP, CUSTOMER_SAMPLE_ID, QA_CODE, SAMPLED_BY, SAMPLED_DATE, RECD_DATE, RECEIPT_TEMP, REPORTED_NAME, COMPONENT, RESULT, UNITS, MRL, ANALYSIS_DATE, DEPTH, DEPTH_UNITS, COLLECT_TYPE, SAMPLE_NOTES, TEST_NOTES, RESULT_NOTES
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Calcium, Dissolved",96.1,mg/L,0.5,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Magnesium, Dissolved",11.3,mg/L,0.5,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Sodium, Dissolved",24.3,mg/L,0.5,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Potassium, Dissolved",1.38,mg/L,0.5,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Silicon as Silica, Dissolved",16.1,mg/L,0.05,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Boron, Dissolved",64.8,µg/L,20,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Iron, Dissolved",458,µg/L,20,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Beryllium, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Aluminum, Dissolved",<10.0,µg/L,10,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Vanadium, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Chromium, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Manganese, Dissolved",15.4,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Cobalt, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Nickel, Dissolved",1.56,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Copper, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Zinc, Dissolved",23.5,µg/L,5,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Arsenic, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Selenium, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681525-01,OWRB,GMAP,WELL_201042,201042,Antlers,5000130.01.A,10 (General Environmental Sample),"ZDT, ZMM",3/14/2022 15:44,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Molybdenum, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
